triple_id,head,relation,tail,evidence,weight
T00001,DS-01-001,BELONGS_TO,MOD-01,算法与数据结构关系是绪论与复杂度分析模块的核心知识点。,1.0
T00002,DS-01-002,BELONGS_TO,MOD-01,抽象数据类型ADT是绪论与复杂度分析模块的核心知识点。,1.0
T00003,DS-01-003,BELONGS_TO,MOD-01,时间复杂度是绪论与复杂度分析模块的核心知识点。,1.0
T00004,DS-01-004,BELONGS_TO,MOD-01,空间复杂度是绪论与复杂度分析模块的核心知识点。,1.0
T00005,DS-01-005,BELONGS_TO,MOD-01,渐进记号是绪论与复杂度分析模块的核心知识点。,1.0
T00006,DS-01-006,BELONGS_TO,MOD-01,最好最坏平均情况是绪论与复杂度分析模块的核心知识点。,1.0
T00007,DS-01-007,BELONGS_TO,MOD-01,递归复杂度是绪论与复杂度分析模块的核心知识点。,1.0
T00008,DS-02-001,BELONGS_TO,MOD-02,顺序表是线性表模块的核心知识点。,1.0
T00009,DS-02-002,BELONGS_TO,MOD-02,单链表是线性表模块的核心知识点。,1.0
T00010,DS-02-003,BELONGS_TO,MOD-02,双向链表是线性表模块的核心知识点。,1.0
T00011,DS-02-004,BELONGS_TO,MOD-02,循环链表是线性表模块的核心知识点。,1.0
T00012,DS-02-005,BELONGS_TO,MOD-02,静态链表是线性表模块的核心知识点。,1.0
T00013,DS-02-006,BELONGS_TO,MOD-02,线性表基本操作是线性表模块的核心知识点。,1.0
T00014,DS-02-007,BELONGS_TO,MOD-02,链表边界条件是线性表模块的核心知识点。,1.0
T00015,DS-03-001,BELONGS_TO,MOD-03,栈是栈与队列模块的核心知识点。,1.0
T00016,DS-03-002,BELONGS_TO,MOD-03,顺序栈是栈与队列模块的核心知识点。,1.0
T00017,DS-03-003,BELONGS_TO,MOD-03,链栈是栈与队列模块的核心知识点。,1.0
T00018,DS-03-004,BELONGS_TO,MOD-03,表达式求值是栈与队列模块的核心知识点。,1.0
T00019,DS-03-005,BELONGS_TO,MOD-03,括号匹配是栈与队列模块的核心知识点。,1.0
T00020,DS-03-006,BELONGS_TO,MOD-03,递归与栈是栈与队列模块的核心知识点。,1.0
T00021,DS-03-007,BELONGS_TO,MOD-03,队列是栈与队列模块的核心知识点。,1.0
T00022,DS-03-008,BELONGS_TO,MOD-03,循环队列是栈与队列模块的核心知识点。,1.0
T00023,DS-03-009,BELONGS_TO,MOD-03,链队列是栈与队列模块的核心知识点。,1.0
T00024,DS-03-010,BELONGS_TO,MOD-03,双端队列是栈与队列模块的核心知识点。,1.0
T00025,DS-04-001,BELONGS_TO,MOD-04,串是串与模式匹配模块的核心知识点。,1.0
T00026,DS-04-002,BELONGS_TO,MOD-04,朴素模式匹配是串与模式匹配模块的核心知识点。,1.0
T00027,DS-04-003,BELONGS_TO,MOD-04,KMP算法是串与模式匹配模块的核心知识点。,1.0
T00028,DS-04-004,BELONGS_TO,MOD-04,next数组是串与模式匹配模块的核心知识点。,1.0
T00029,DS-04-005,BELONGS_TO,MOD-04,nextval数组是串与模式匹配模块的核心知识点。,1.0
T00030,DS-04-006,BELONGS_TO,MOD-04,字符串存储是串与模式匹配模块的核心知识点。,1.0
T00031,DS-05-001,BELONGS_TO,MOD-05,数组存储是数组、矩阵与广义表模块的核心知识点。,1.0
T00032,DS-05-002,BELONGS_TO,MOD-05,特殊矩阵压缩是数组、矩阵与广义表模块的核心知识点。,1.0
T00033,DS-05-003,BELONGS_TO,MOD-05,稀疏矩阵三元组表是数组、矩阵与广义表模块的核心知识点。,1.0
T00034,DS-08-004,BELONGS_TO,MOD-05,十字链表是数组、矩阵与广义表模块的核心知识点。,1.0
T00035,DS-05-005,BELONGS_TO,MOD-05,广义表是数组、矩阵与广义表模块的核心知识点。,1.0
T00036,DS-06-001,BELONGS_TO,MOD-06,树是树与二叉树模块的核心知识点。,1.0
T00037,DS-06-002,BELONGS_TO,MOD-06,二叉树是树与二叉树模块的核心知识点。,1.0
T00038,DS-06-003,BELONGS_TO,MOD-06,满二叉树是树与二叉树模块的核心知识点。,1.0
T00039,DS-06-004,BELONGS_TO,MOD-06,完全二叉树是树与二叉树模块的核心知识点。,1.0
T00040,DS-06-005,BELONGS_TO,MOD-06,二叉树性质是树与二叉树模块的核心知识点。,1.0
T00041,DS-06-006,BELONGS_TO,MOD-06,顺序存储二叉树是树与二叉树模块的核心知识点。,1.0
T00042,DS-06-007,BELONGS_TO,MOD-06,链式存储二叉树是树与二叉树模块的核心知识点。,1.0
T00043,DS-06-008,BELONGS_TO,MOD-06,先序遍历是树与二叉树模块的核心知识点。,1.0
T00044,DS-06-009,BELONGS_TO,MOD-06,中序遍历是树与二叉树模块的核心知识点。,1.0
T00045,DS-06-010,BELONGS_TO,MOD-06,后序遍历是树与二叉树模块的核心知识点。,1.0
T00046,DS-06-011,BELONGS_TO,MOD-06,层序遍历是树与二叉树模块的核心知识点。,1.0
T00047,DS-06-012,BELONGS_TO,MOD-06,线索二叉树是树与二叉树模块的核心知识点。,1.0
T00048,DS-06-013,BELONGS_TO,MOD-06,哈夫曼树是树与二叉树模块的核心知识点。,1.0
T00049,DS-06-014,BELONGS_TO,MOD-06,哈夫曼编码是树与二叉树模块的核心知识点。,1.0
T00050,DS-07-001,BELONGS_TO,MOD-07,树森林二叉树转换是森林与并查集模块的核心知识点。,1.0
T00051,DS-07-002,BELONGS_TO,MOD-07,孩子兄弟表示法是森林与并查集模块的核心知识点。,1.0
T00052,DS-07-003,BELONGS_TO,MOD-07,并查集是森林与并查集模块的核心知识点。,1.0
T00053,DS-07-004,BELONGS_TO,MOD-07,路径压缩是森林与并查集模块的核心知识点。,1.0
T00054,DS-07-005,BELONGS_TO,MOD-07,按秩合并是森林与并查集模块的核心知识点。,1.0
T00055,DS-08-001,BELONGS_TO,MOD-08,图的基本概念是图模块的核心知识点。,1.0
T00056,DS-08-002,BELONGS_TO,MOD-08,邻接矩阵是图模块的核心知识点。,1.0
T00057,DS-08-003,BELONGS_TO,MOD-08,邻接表是图模块的核心知识点。,1.0
T00058,DS-08-004,BELONGS_TO,MOD-08,十字链表是图模块的核心知识点。,1.0
T00059,DS-08-005,BELONGS_TO,MOD-08,邻接多重表是图模块的核心知识点。,1.0
T00060,DS-08-006,BELONGS_TO,MOD-08,DFS是图模块的核心知识点。,1.0
T00061,DS-08-007,BELONGS_TO,MOD-08,BFS是图模块的核心知识点。,1.0
T00062,DS-08-008,BELONGS_TO,MOD-08,连通分量是图模块的核心知识点。,1.0
T00063,DS-08-009,BELONGS_TO,MOD-08,拓扑排序是图模块的核心知识点。,1.0
T00064,DS-08-010,BELONGS_TO,MOD-08,关键路径是图模块的核心知识点。,1.0
T00065,DS-08-011,BELONGS_TO,MOD-08,最小生成树是图模块的核心知识点。,1.0
T00066,DS-08-012,BELONGS_TO,MOD-08,Prim算法是图模块的核心知识点。,1.0
T00067,DS-08-013,BELONGS_TO,MOD-08,Kruskal算法是图模块的核心知识点。,1.0
T00068,DS-08-014,BELONGS_TO,MOD-08,单源最短路径是图模块的核心知识点。,1.0
T00069,DS-08-015,BELONGS_TO,MOD-08,Dijkstra算法是图模块的核心知识点。,1.0
T00070,DS-08-016,BELONGS_TO,MOD-08,Bellman-Ford算法是图模块的核心知识点。,1.0
T00071,DS-08-017,BELONGS_TO,MOD-08,多源最短路径是图模块的核心知识点。,1.0
T00072,DS-08-018,BELONGS_TO,MOD-08,Floyd算法是图模块的核心知识点。,1.0
T00073,DS-09-001,BELONGS_TO,MOD-09,顺序查找是查找模块的核心知识点。,1.0
T00074,DS-09-002,BELONGS_TO,MOD-09,折半查找是查找模块的核心知识点。,1.0
T00075,DS-09-003,BELONGS_TO,MOD-09,分块查找是查找模块的核心知识点。,1.0
T00076,DS-09-004,BELONGS_TO,MOD-09,二叉排序树是查找模块的核心知识点。,1.0
T00077,DS-09-005,BELONGS_TO,MOD-09,平衡二叉树AVL是查找模块的核心知识点。,1.0
T00078,DS-09-006,BELONGS_TO,MOD-09,红黑树基础是查找模块的核心知识点。,1.0
T00079,DS-09-007,BELONGS_TO,MOD-09,B树是查找模块的核心知识点。,1.0
T00080,DS-09-008,BELONGS_TO,MOD-09,B+树是查找模块的核心知识点。,1.0
T00081,DS-09-009,BELONGS_TO,MOD-09,散列表是查找模块的核心知识点。,1.0
T00082,DS-09-010,BELONGS_TO,MOD-09,哈希函数是查找模块的核心知识点。,1.0
T00083,DS-09-011,BELONGS_TO,MOD-09,冲突处理是查找模块的核心知识点。,1.0
T00084,DS-09-012,BELONGS_TO,MOD-09,装填因子是查找模块的核心知识点。,1.0
T00085,DS-10-001,BELONGS_TO,MOD-10,插入排序是排序模块的核心知识点。,1.0
T00086,DS-10-002,BELONGS_TO,MOD-10,折半插入排序是排序模块的核心知识点。,1.0
T00087,DS-10-003,BELONGS_TO,MOD-10,希尔排序是排序模块的核心知识点。,1.0
T00088,DS-10-004,BELONGS_TO,MOD-10,冒泡排序是排序模块的核心知识点。,1.0
T00089,DS-10-005,BELONGS_TO,MOD-10,快速排序是排序模块的核心知识点。,1.0
T00090,DS-10-006,BELONGS_TO,MOD-10,简单选择排序是排序模块的核心知识点。,1.0
T00091,DS-10-007,BELONGS_TO,MOD-10,堆排序是排序模块的核心知识点。,1.0
T00092,DS-10-008,BELONGS_TO,MOD-10,归并排序是排序模块的核心知识点。,1.0
T00093,DS-10-009,BELONGS_TO,MOD-10,基数排序是排序模块的核心知识点。,1.0
T00094,DS-10-010,BELONGS_TO,MOD-10,外部排序是排序模块的核心知识点。,1.0
T00095,DS-10-011,BELONGS_TO,MOD-10,排序稳定性是排序模块的核心知识点。,1.0
T00096,DS-10-012,BELONGS_TO,MOD-10,排序复杂度比较是排序模块的核心知识点。,1.0
T00097,DS-11-001,BELONGS_TO,MOD-11,优先队列是高级结构与工程应用模块的核心知识点。,1.0
T00098,DS-11-002,BELONGS_TO,MOD-11,堆是高级结构与工程应用模块的核心知识点。,1.0
T00099,DS-11-003,BELONGS_TO,MOD-11,Trie树是高级结构与工程应用模块的核心知识点。,1.0
T00100,DS-11-004,BELONGS_TO,MOD-11,线段树是高级结构与工程应用模块的核心知识点。,1.0
T00101,DS-11-005,BELONGS_TO,MOD-11,树状数组是高级结构与工程应用模块的核心知识点。,1.0
T00102,DS-11-006,BELONGS_TO,MOD-11,跳表是高级结构与工程应用模块的核心知识点。,1.0
T00103,DS-11-007,BELONGS_TO,MOD-11,LRU缓存是高级结构与工程应用模块的核心知识点。,1.0
T00104,DS-11-008,BELONGS_TO,MOD-11,布隆过滤器是高级结构与工程应用模块的核心知识点。,1.0
T00105,DS-11-009,BELONGS_TO,MOD-11,倒排索引是高级结构与工程应用模块的核心知识点。,1.0
T00106,DS-01-001,PREREQUISITE_OF,DS-01-002,学习抽象数据类型ADT前应先理解算法与数据结构关系。,0.9
T00107,DS-01-003,PREREQUISITE_OF,DS-10-012,学习排序复杂度比较前应先理解时间复杂度。,0.9
T00108,DS-01-005,PREREQUISITE_OF,DS-01-003,学习时间复杂度前应先理解渐进记号。,0.9
T00109,DS-02-002,PREREQUISITE_OF,DS-02-003,学习双向链表前应先理解单链表。,0.9
T00110,DS-02-002,PREREQUISITE_OF,DS-02-004,学习循环链表前应先理解单链表。,0.9
T00111,DS-03-001,PREREQUISITE_OF,DS-03-004,学习表达式求值前应先理解栈。,0.9
T00112,DS-03-001,PREREQUISITE_OF,DS-03-005,学习括号匹配前应先理解栈。,0.9
T00113,DS-03-007,PREREQUISITE_OF,DS-03-008,学习循环队列前应先理解队列。,0.9
T00114,DS-03-007,PREREQUISITE_OF,DS-08-007,学习BFS前应先理解队列。,0.9
T00115,DS-04-001,PREREQUISITE_OF,DS-04-002,学习朴素模式匹配前应先理解串。,0.9
T00116,DS-04-002,PREREQUISITE_OF,DS-04-003,学习KMP算法前应先理解朴素模式匹配。,0.9
T00117,DS-04-003,PREREQUISITE_OF,DS-04-004,学习next数组前应先理解KMP算法。,0.9
T00118,DS-06-001,PREREQUISITE_OF,DS-06-002,学习二叉树前应先理解树。,0.9
T00119,DS-06-002,PREREQUISITE_OF,DS-06-005,学习二叉树性质前应先理解二叉树。,0.9
T00120,DS-06-002,PREREQUISITE_OF,DS-06-008,学习先序遍历前应先理解二叉树。,0.9
T00121,DS-06-002,PREREQUISITE_OF,DS-06-009,学习中序遍历前应先理解二叉树。,0.9
T00122,DS-06-002,PREREQUISITE_OF,DS-06-010,学习后序遍历前应先理解二叉树。,0.9
T00123,DS-06-002,PREREQUISITE_OF,DS-06-011,学习层序遍历前应先理解二叉树。,0.9
T00124,DS-06-002,PREREQUISITE_OF,DS-06-013,学习哈夫曼树前应先理解二叉树。,0.9
T00125,DS-06-013,PREREQUISITE_OF,DS-06-014,学习哈夫曼编码前应先理解哈夫曼树。,0.9
T00126,DS-06-001,PREREQUISITE_OF,DS-07-001,学习树森林二叉树转换前应先理解树。,0.9
T00127,DS-06-001,PREREQUISITE_OF,DS-07-003,学习并查集前应先理解树。,0.9
T00128,DS-08-001,PREREQUISITE_OF,DS-08-002,学习邻接矩阵前应先理解图的基本概念。,0.9
T00129,DS-08-001,PREREQUISITE_OF,DS-08-003,学习邻接表前应先理解图的基本概念。,0.9
T00130,DS-08-003,PREREQUISITE_OF,DS-08-006,学习DFS前应先理解邻接表。,0.9
T00131,DS-08-003,PREREQUISITE_OF,DS-08-007,学习BFS前应先理解邻接表。,0.9
T00132,DS-08-006,PREREQUISITE_OF,DS-08-009,学习拓扑排序前应先理解DFS。,0.9
T00133,DS-08-009,PREREQUISITE_OF,DS-08-010,学习关键路径前应先理解拓扑排序。,0.9
T00134,DS-07-003,PREREQUISITE_OF,DS-08-013,学习Kruskal算法前应先理解并查集。,0.9
T00135,DS-08-011,PREREQUISITE_OF,DS-08-012,学习Prim算法前应先理解最小生成树。,0.9
T00136,DS-08-011,PREREQUISITE_OF,DS-08-013,学习Kruskal算法前应先理解最小生成树。,0.9
T00137,DS-08-001,PREREQUISITE_OF,DS-08-014,学习单源最短路径前应先理解图的基本概念。,0.9
T00138,DS-08-014,PREREQUISITE_OF,DS-08-015,学习Dijkstra算法前应先理解单源最短路径。,0.9
T00139,DS-08-014,PREREQUISITE_OF,DS-08-016,学习Bellman-Ford算法前应先理解单源最短路径。,0.9
T00140,DS-08-017,PREREQUISITE_OF,DS-08-018,学习Floyd算法前应先理解多源最短路径。,0.9
T00141,DS-09-001,PREREQUISITE_OF,DS-09-002,学习折半查找前应先理解顺序查找。,0.9
T00142,DS-09-002,PREREQUISITE_OF,DS-09-004,学习二叉排序树前应先理解折半查找。,0.9
T00143,DS-09-004,PREREQUISITE_OF,DS-09-005,学习平衡二叉树AVL前应先理解二叉排序树。,0.9
T00144,DS-09-005,PREREQUISITE_OF,DS-09-006,学习红黑树基础前应先理解平衡二叉树AVL。,0.9
T00145,DS-09-004,PREREQUISITE_OF,DS-09-007,学习B树前应先理解二叉排序树。,0.9
T00146,DS-09-007,PREREQUISITE_OF,DS-09-008,学习B+树前应先理解B树。,0.9
T00147,DS-09-009,PREREQUISITE_OF,DS-09-010,学习哈希函数前应先理解散列表。,0.9
T00148,DS-09-010,PREREQUISITE_OF,DS-09-011,学习冲突处理前应先理解哈希函数。,0.9
T00149,DS-09-009,PREREQUISITE_OF,DS-09-012,学习装填因子前应先理解散列表。,0.9
T00150,DS-10-001,PREREQUISITE_OF,DS-10-003,学习希尔排序前应先理解插入排序。,0.9
T00151,DS-10-004,PREREQUISITE_OF,DS-10-005,学习快速排序前应先理解冒泡排序。,0.9
T00152,DS-10-006,PREREQUISITE_OF,DS-10-007,学习堆排序前应先理解简单选择排序。,0.9
T00153,DS-06-002,PREREQUISITE_OF,DS-11-002,学习堆前应先理解二叉树。,0.9
T00154,DS-11-002,PREREQUISITE_OF,DS-11-001,学习优先队列前应先理解堆。,0.9
T00155,DS-11-002,PREREQUISITE_OF,DS-10-007,学习堆排序前应先理解堆。,0.9
T00156,DS-10-008,PREREQUISITE_OF,DS-10-010,学习外部排序前应先理解归并排序。,0.9
T00157,DS-06-001,PREREQUISITE_OF,DS-11-003,学习Trie树前应先理解树。,0.9
T00158,DS-05-001,PREREQUISITE_OF,DS-11-004,学习线段树前应先理解数组存储。,0.9
T00159,DS-05-001,PREREQUISITE_OF,DS-11-005,学习树状数组前应先理解数组存储。,0.9
T00160,DS-02-003,PREREQUISITE_OF,DS-11-007,学习LRU缓存前应先理解双向链表。,0.9
T00161,DS-09-009,PREREQUISITE_OF,DS-11-007,学习LRU缓存前应先理解散列表。,0.9
T00162,DS-09-010,PREREQUISITE_OF,DS-11-008,学习布隆过滤器前应先理解哈希函数。,0.9
T00163,DS-11-003,PREREQUISITE_OF,DS-11-009,学习倒排索引前应先理解Trie树。,0.9
T00164,DS-02-001,COMPARE_WITH,DS-02-002,顺序表与单链表在结构、复杂度或适用条件上常被比较。,0.8
T00165,DS-02-002,COMPARE_WITH,DS-02-003,单链表与双向链表在结构、复杂度或适用条件上常被比较。,0.8
T00166,DS-03-001,COMPARE_WITH,DS-03-007,栈与队列在结构、复杂度或适用条件上常被比较。,0.8
T00167,DS-03-002,COMPARE_WITH,DS-03-003,顺序栈与链栈在结构、复杂度或适用条件上常被比较。,0.8
T00168,DS-09-001,COMPARE_WITH,DS-09-002,顺序查找与折半查找在结构、复杂度或适用条件上常被比较。,0.8
T00169,DS-08-006,COMPARE_WITH,DS-08-007,DFS与BFS在结构、复杂度或适用条件上常被比较。,0.8
T00170,DS-08-012,COMPARE_WITH,DS-08-013,Prim算法与Kruskal算法在结构、复杂度或适用条件上常被比较。,0.8
T00171,DS-08-015,COMPARE_WITH,DS-08-018,Dijkstra算法与Floyd算法在结构、复杂度或适用条件上常被比较。,0.8
T00172,DS-08-015,COMPARE_WITH,DS-08-016,Dijkstra算法与Bellman-Ford算法在结构、复杂度或适用条件上常被比较。,0.8
T00173,DS-09-004,COMPARE_WITH,DS-09-005,二叉排序树与平衡二叉树AVL在结构、复杂度或适用条件上常被比较。,0.8
T00174,DS-09-007,COMPARE_WITH,DS-09-008,B树与B+树在结构、复杂度或适用条件上常被比较。,0.8
T00175,DS-10-001,COMPARE_WITH,DS-10-003,插入排序与希尔排序在结构、复杂度或适用条件上常被比较。,0.8
T00176,DS-10-004,COMPARE_WITH,DS-10-005,冒泡排序与快速排序在结构、复杂度或适用条件上常被比较。,0.8
T00177,DS-10-005,COMPARE_WITH,DS-10-008,快速排序与归并排序在结构、复杂度或适用条件上常被比较。,0.8
T00178,DS-10-007,COMPARE_WITH,DS-10-008,堆排序与归并排序在结构、复杂度或适用条件上常被比较。,0.8
T00179,DS-09-009,COMPARE_WITH,DS-09-004,散列表与二叉排序树在结构、复杂度或适用条件上常被比较。,0.8
T00180,DS-11-004,COMPARE_WITH,DS-11-005,线段树与树状数组在结构、复杂度或适用条件上常被比较。,0.8
T00181,DS-02-001,HAS_OPERATION,OP-001,顺序表通常需要分析访问操作。,0.7
T00182,DS-02-001,HAS_OPERATION,OP-002,顺序表通常需要分析插入操作。,0.7
T00183,DS-02-001,HAS_OPERATION,OP-003,顺序表通常需要分析删除操作。,0.7
T00184,DS-02-001,HAS_OPERATION,OP-004,顺序表通常需要分析查找操作。,0.7
T00185,DS-02-001,HAS_OPERATION,OP-005,顺序表通常需要分析遍历操作。,0.7
T00186,DS-02-002,HAS_OPERATION,OP-001,单链表通常需要分析访问操作。,0.7
T00187,DS-02-002,HAS_OPERATION,OP-002,单链表通常需要分析插入操作。,0.7
T00188,DS-02-002,HAS_OPERATION,OP-003,单链表通常需要分析删除操作。,0.7
T00189,DS-02-002,HAS_OPERATION,OP-004,单链表通常需要分析查找操作。,0.7
T00190,DS-02-002,HAS_OPERATION,OP-005,单链表通常需要分析遍历操作。,0.7
T00191,DS-02-003,HAS_OPERATION,OP-001,双向链表通常需要分析访问操作。,0.7
T00192,DS-02-003,HAS_OPERATION,OP-002,双向链表通常需要分析插入操作。,0.7
T00193,DS-02-003,HAS_OPERATION,OP-003,双向链表通常需要分析删除操作。,0.7
T00194,DS-02-003,HAS_OPERATION,OP-004,双向链表通常需要分析查找操作。,0.7
T00195,DS-02-003,HAS_OPERATION,OP-005,双向链表通常需要分析遍历操作。,0.7
T00196,DS-02-004,HAS_OPERATION,OP-001,循环链表通常需要分析访问操作。,0.7
T00197,DS-02-004,HAS_OPERATION,OP-002,循环链表通常需要分析插入操作。,0.7
T00198,DS-02-004,HAS_OPERATION,OP-003,循环链表通常需要分析删除操作。,0.7
T00199,DS-02-004,HAS_OPERATION,OP-004,循环链表通常需要分析查找操作。,0.7
T00200,DS-02-004,HAS_OPERATION,OP-005,循环链表通常需要分析遍历操作。,0.7
T00201,DS-03-001,HAS_OPERATION,OP-001,栈通常需要分析访问操作。,0.7
T00202,DS-03-001,HAS_OPERATION,OP-002,栈通常需要分析插入操作。,0.7
T00203,DS-03-001,HAS_OPERATION,OP-003,栈通常需要分析删除操作。,0.7
T00204,DS-03-001,HAS_OPERATION,OP-004,栈通常需要分析查找操作。,0.7
T00205,DS-03-001,HAS_OPERATION,OP-005,栈通常需要分析遍历操作。,0.7
T00206,DS-03-007,HAS_OPERATION,OP-001,队列通常需要分析访问操作。,0.7
T00207,DS-03-007,HAS_OPERATION,OP-002,队列通常需要分析插入操作。,0.7
T00208,DS-03-007,HAS_OPERATION,OP-003,队列通常需要分析删除操作。,0.7
T00209,DS-03-007,HAS_OPERATION,OP-004,队列通常需要分析查找操作。,0.7
T00210,DS-03-007,HAS_OPERATION,OP-005,队列通常需要分析遍历操作。,0.7
T00211,DS-03-008,HAS_OPERATION,OP-001,循环队列通常需要分析访问操作。,0.7
T00212,DS-03-008,HAS_OPERATION,OP-002,循环队列通常需要分析插入操作。,0.7
T00213,DS-03-008,HAS_OPERATION,OP-003,循环队列通常需要分析删除操作。,0.7
T00214,DS-03-008,HAS_OPERATION,OP-004,循环队列通常需要分析查找操作。,0.7
T00215,DS-03-008,HAS_OPERATION,OP-005,循环队列通常需要分析遍历操作。,0.7
T00216,DS-06-002,HAS_OPERATION,OP-001,二叉树通常需要分析访问操作。,0.7
T00217,DS-06-002,HAS_OPERATION,OP-002,二叉树通常需要分析插入操作。,0.7
T00218,DS-06-002,HAS_OPERATION,OP-003,二叉树通常需要分析删除操作。,0.7
T00219,DS-06-002,HAS_OPERATION,OP-004,二叉树通常需要分析查找操作。,0.7
T00220,DS-06-002,HAS_OPERATION,OP-005,二叉树通常需要分析遍历操作。,0.7
T00221,DS-08-001,HAS_OPERATION,OP-001,图的基本概念通常需要分析访问操作。,0.7
T00222,DS-08-001,HAS_OPERATION,OP-002,图的基本概念通常需要分析插入操作。,0.7
T00223,DS-08-001,HAS_OPERATION,OP-003,图的基本概念通常需要分析删除操作。,0.7
T00224,DS-08-001,HAS_OPERATION,OP-004,图的基本概念通常需要分析查找操作。,0.7
T00225,DS-08-001,HAS_OPERATION,OP-005,图的基本概念通常需要分析遍历操作。,0.7
T00226,DS-09-009,HAS_OPERATION,OP-001,散列表通常需要分析访问操作。,0.7
T00227,DS-09-009,HAS_OPERATION,OP-002,散列表通常需要分析插入操作。,0.7
T00228,DS-09-009,HAS_OPERATION,OP-003,散列表通常需要分析删除操作。,0.7
T00229,DS-09-009,HAS_OPERATION,OP-004,散列表通常需要分析查找操作。,0.7
T00230,DS-09-009,HAS_OPERATION,OP-005,散列表通常需要分析遍历操作。,0.7
T00231,DS-11-002,HAS_OPERATION,OP-001,堆通常需要分析访问操作。,0.7
T00232,DS-11-002,HAS_OPERATION,OP-002,堆通常需要分析插入操作。,0.7
T00233,DS-11-002,HAS_OPERATION,OP-003,堆通常需要分析删除操作。,0.7
T00234,DS-11-002,HAS_OPERATION,OP-004,堆通常需要分析查找操作。,0.7
T00235,DS-11-002,HAS_OPERATION,OP-005,堆通常需要分析遍历操作。,0.7
T00236,DS-11-004,HAS_OPERATION,OP-001,线段树通常需要分析访问操作。,0.7
T00237,DS-11-004,HAS_OPERATION,OP-002,线段树通常需要分析插入操作。,0.7
T00238,DS-11-004,HAS_OPERATION,OP-003,线段树通常需要分析删除操作。,0.7
T00239,DS-11-004,HAS_OPERATION,OP-004,线段树通常需要分析查找操作。,0.7
T00240,DS-11-004,HAS_OPERATION,OP-005,线段树通常需要分析遍历操作。,0.7
T00241,DS-11-005,HAS_OPERATION,OP-001,树状数组通常需要分析访问操作。,0.7
T00242,DS-11-005,HAS_OPERATION,OP-002,树状数组通常需要分析插入操作。,0.7
T00243,DS-11-005,HAS_OPERATION,OP-003,树状数组通常需要分析删除操作。,0.7
T00244,DS-11-005,HAS_OPERATION,OP-004,树状数组通常需要分析查找操作。,0.7
T00245,DS-11-005,HAS_OPERATION,OP-005,树状数组通常需要分析遍历操作。,0.7
T00246,DS-11-007,HAS_OPERATION,OP-001,LRU缓存通常需要分析访问操作。,0.7
T00247,DS-11-007,HAS_OPERATION,OP-002,LRU缓存通常需要分析插入操作。,0.7
T00248,DS-11-007,HAS_OPERATION,OP-003,LRU缓存通常需要分析删除操作。,0.7
T00249,DS-11-007,HAS_OPERATION,OP-004,LRU缓存通常需要分析查找操作。,0.7
T00250,DS-11-007,HAS_OPERATION,OP-005,LRU缓存通常需要分析遍历操作。,0.7
T00251,DS-03-001,HAS_OPERATION,OP-011,入栈是栈中的典型操作。,0.9
T00252,DS-03-001,HAS_OPERATION,OP-012,出栈是栈中的典型操作。,0.9
T00253,DS-03-001,HAS_OPERATION,OP-010,判空是栈中的典型操作。,0.9
T00254,DS-03-007,HAS_OPERATION,OP-013,入队是队列中的典型操作。,0.9
T00255,DS-03-007,HAS_OPERATION,OP-014,出队是队列中的典型操作。,0.9
T00256,DS-03-007,HAS_OPERATION,OP-010,判空是队列中的典型操作。,0.9
T00257,DS-09-005,HAS_OPERATION,OP-015,旋转是平衡二叉树AVL中的典型操作。,0.9
T00258,DS-09-009,HAS_OPERATION,OP-016,哈希映射是散列表中的典型操作。,0.9
T00259,DS-09-009,HAS_OPERATION,OP-017,冲突处理是散列表中的典型操作。,0.9
T00260,DS-08-006,HAS_OPERATION,OP-018,递归是DFS中的典型操作。,0.9
T00261,DS-08-006,HAS_OPERATION,OP-019,回溯是DFS中的典型操作。,0.9
T00262,DS-03-001,USED_IN,APP-001,栈可用于表达式求值。,0.9
T00263,DS-03-001,USED_IN,APP-002,栈可用于括号匹配。,0.9
T00264,DS-03-001,USED_IN,APP-003,栈可用于浏览器前进后退。,0.9
T00265,DS-03-007,USED_IN,APP-004,队列可用于任务调度。,0.9
T00266,DS-08-007,USED_IN,APP-005,BFS可用于无权最短路径。,0.9
T00267,DS-09-008,USED_IN,APP-006,B+树可用于数据库索引。,0.9
T00268,DS-11-009,USED_IN,APP-007,倒排索引可用于搜索引擎检索。,0.9
T00269,DS-11-007,USED_IN,APP-008,LRU缓存可用于缓存淘汰。,0.9
T00270,DS-08-015,USED_IN,APP-009,Dijkstra算法可用于网络路由。,0.9
T00271,DS-08-010,USED_IN,APP-010,关键路径可用于工程排期。,0.9
T00272,DS-11-003,USED_IN,APP-011,Trie树可用于词典前缀查询。,0.9
T00273,DS-11-004,USED_IN,APP-012,线段树可用于区间统计。,0.9
T00274,DS-11-005,USED_IN,APP-012,树状数组可用于区间统计。,0.9
T00275,DS-07-003,USED_IN,APP-013,并查集可用于动态连通性。,0.9
T00276,DS-06-014,USED_IN,APP-014,哈夫曼编码可用于文件压缩。,0.9
